widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,corpus-freq
15,",",,,,",",,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,,
16,distinguished,11.0,3.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,3
17,guests,5.0,1.0,1.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,3
18,",",,,,",",,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,,
19,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,89,1549
20,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3,46
21,citizens,8.0,3.0,1.0,NNS,nmod:of,1.0,1.0,1.0,1.0,0.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,6,58
22,:,,,,:,,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,,
1,Each,2.0,1.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,5,59
2,time,3.0,1.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,10,112
3,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,69,1021
4,gather,4.0,2.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,1,5
5,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,66,1169
6,inaugurate,8.0,4.0,1.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,1,2
7,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,37,789
8,President,9.0,3.0,2.0,NNP,dobj,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,2,47
9,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,69,1021
10,bear,3.0,1.0,1.0,VBP,acl:relcl,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,1,9
11,witness,6.0,2.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,1,5
12,to,2.0,1.0,1.0,TO,case,3.0,3.0,3.0,3.0,-2.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,66,1169
13,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,104,2261
14,enduring,8.0,3.0,1.0,VBG,amod,3.0,3.0,3.0,3.0,-2.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,3,11
15,strength,7.0,1.0,1.0,NN,nmod:to,2.0,2.0,2.0,2.0,-1.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,2,43
16,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,69,1691
17,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,76,904
18,Constitution,11.0,4.0,2.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,1,11
19,.,,,,.,,,,,,,4,Each time we gather to inaugurate a President we bear witness to the enduring strength of our Constitution .,3,3,,
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,5,We affirm the promise of our democracy .,2,2,69,1021
2,affirm,4.0,2.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,5,We affirm the promise of our democracy .,2,2,1,4
3,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,5,We affirm the promise of our democracy .,2,2,104,2261
4,promise,6.0,2.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,5,We affirm the promise of our democracy .,2,2,2,33
5,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,5,We affirm the promise of our democracy .,2,2,69,1691
6,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,5,We affirm the promise of our democracy .,2,2,76,904
7,democracy,9.0,4.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,5,We affirm the promise of our democracy .,2,2,2,50
8,.,,,,.,,,,,,,5,We affirm the promise of our democracy .,2,2,,
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,69,1021
2,recall,5.0,2.0,2.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,5
3,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,57,640
4,what,3.0,1.0,1.0,WDT,nsubj,4.0,4.0,2.0,4.0,-2.5,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,8,93
5,binds,5.0,1.0,1.0,VBZ,ccomp,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,3
6,this,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,13,323
7,Nation,5.0,2.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,6,157
8,together,6.0,3.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,7,61
9,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,25,500
10,not,3.0,1.0,1.0,RB,neg,3.0,3.0,2.0,3.0,-1.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,29,339
11,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,104,2261
12,colors,5.0,2.0,1.0,NNS,ccomp,3.0,3.0,3.0,3.0,-2.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,2
13,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,69,1691
14,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,76,904
15,skin,4.0,1.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,1
16,or,2.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,13,111
17,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,104,2261
18,tenets,6.0,2.0,1.0,NNS,ccomp,3.0,3.0,3.0,3.0,-2.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,1
19,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,69,1691
20,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,76,904
21,faith,3.0,1.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,53
22,or,2.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,13,111
23,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,104,2261
24,origins,7.0,3.0,1.0,NNS,conj:or,2.0,2.0,2.0,2.0,-1.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,2
25,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,69,1691
26,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,76,904
27,names,4.0,1.0,1.0,NNS,nmod:of,1.0,1.0,1.0,1.0,0.0,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,1,3
28,.,,,,.,,,,,,,6,We recall that what binds this Nation together is not the colors of our skin or the tenets of our faith or the origins of our names .,9,9,,
1,What,3.0,1.0,1.0,WP,nsubj,4.0,4.0,2.0,4.0,-2.5,7,What makes us exceptional --,2,2,8,93
2,makes,4.0,1.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,7,What makes us exceptional --,2,2,2,10
3,us,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,7,What makes us exceptional --,2,2,21,279
4,exceptional,10.0,4.0,1.0,JJ,xcomp,1.0,1.0,1.0,1.0,0.0,7,What makes us exceptional --,2,2,1,2
5,--,,,,:,,,,,,,7,What makes us exceptional --,2,2,,
1,what,3.0,1.0,1.0,WP,nsubj,4.0,4.0,2.0,4.0,-2.5,8,what makes us American --,2,2,8,93
2,makes,4.0,1.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,8,what makes us American --,2,2,2,10
3,us,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,8,what makes us American --,2,2,21,279
4,American,8.0,4.0,1.0,JJ,xcomp,1.0,1.0,1.0,1.0,0.0,8,what makes us American --,2,2,6,62
5,--,,,,:,,,,,,,8,what makes us American --,2,2,,
1,is,2.0,1.0,1.0,VBZ,cop,4.0,4.0,3.0,4.0,-2.75,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,25,500
2,our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,76,904
3,allegiance,7.0,3.0,1.0,NN,advcl,3.0,3.0,3.0,3.0,-2.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,2
4,to,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,-3.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,66,1169
5,an,2.0,1.0,1.0,DT,det,5.0,5.0,5.0,5.0,-4.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,7,97
6,idea,4.0,3.0,1.0,NN,nmod:to,3.0,3.0,3.0,3.0,-2.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,10
7,articulated,12.0,5.0,2.0,VBN,acl,2.0,2.0,3.0,2.0,-1.25,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,1
8,in,2.0,1.0,0.0,IN,nmod,5.0,5.0,2.0,5.0,-3.25,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,21,808
9,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,37,789
10,declaration,9.0,4.0,2.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,6
11,made,3.0,1.0,1.0,VBD,root,2.0,2.0,2.0,2.0,-1.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,3,33
12,more,3.0,1.0,1.0,JJR,advmod,4.0,4.0,4.0,4.0,-3.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,7,109
13,than,3.0,1.0,1.0,IN,mwe,5.0,5.0,4.0,5.0,-3.75,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,6,64
14,two,2.0,1.0,1.0,CD,nummod,3.0,3.0,3.0,3.0,-2.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,16
15,centuries,7.0,3.0,1.0,NNS,nmod:npmod,2.0,2.0,2.0,2.0,-1.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,14
16,ago,3.0,2.0,1.0,RB,advmod,1.0,1.0,1.0,1.0,0.0,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,1,22
17,:,,,,:,,,,,,,9,is our allegiance to an idea articulated in a declaration made more than two centuries ago :,3,3,,
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,69,1021
2,hold,4.0,1.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,1,13
3,these,3.0,1.0,1.0,DT,det,5.0,5.0,4.0,5.0,-3.75,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,10,83
4,truths,5.0,1.0,1.0,NNS,dobj,3.0,3.0,3.0,3.0,-2.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,3,8
5,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,66,1169
6,be,2.0,1.0,1.0,VB,cop,4.0,4.0,3.0,4.0,-2.75,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,10,280
7,self-evident,,,,JJ,xcomp,2.0,2.0,2.0,2.0,-1.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,2,2
8,",",,,,",",,,,,,,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,,
9,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,57,640
10,all,2.0,1.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,12,255
11,men,3.0,1.0,1.0,NNS,nsubjpass,2.0,2.0,2.0,2.0,-1.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,3,60
12,are,2.0,1.0,1.0,VBP,auxpass,3.0,3.0,2.0,3.0,-1.75,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,21,310
13,created,7.0,3.0,1.0,VBN,ccomp,2.0,2.0,2.0,2.0,-1.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,3,14
14,equal,5.0,2.0,1.0,JJ,xcomp,1.0,1.0,1.0,1.0,0.0,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,6,22
15,;,,,,:,,,,,,,10,"We hold these truths to be self-evident , that all men are created equal ;",5,5,,
1,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,57,640
2,they,2.0,1.0,1.0,PRP,nsubjpass,4.0,4.0,2.0,4.0,-2.5,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,10,136
3,are,2.0,1.0,1.0,VBP,auxpass,3.0,3.0,2.0,3.0,-1.75,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,21,310
4,endowed,5.0,2.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,1,1
5,by,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,11,221
6,their,3.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,4,148
7,Creator,6.0,3.0,1.0,NN,nmod:by,2.0,2.0,2.0,2.0,-1.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,1,2
8,with,3.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,13,225
9,certain,5.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,1,8
10,unalienable,11.0,6.0,1.0,NN,compound,1.0,1.0,1.0,1.0,0.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,1,1
11,rights,4.0,1.0,1.0,NNS,nmod:with,2.0,2.0,2.0,2.0,-1.0,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,2,24
12,;,,,,:,,,,,,,11,that they are endowed by their Creator with certain unalienable rights ;,5,5,,
1,that,3.0,1.0,1.0,DT,nsubj,5.0,5.0,3.0,5.0,-3.5,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,57,640
2,among,4.0,2.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,1,27
3,these,3.0,1.0,1.0,DT,nmod:among,6.0,6.0,2.0,6.0,-4.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,10,83
4,are,2.0,1.0,1.0,VBP,cop,3.0,3.0,2.0,3.0,-1.75,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,21,310
5,life,3.0,1.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,4,69
6,",",,,,",",,,,,,,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,,
7,liberty,6.0,3.0,1.0,NN,conj:and,2.0,2.0,2.0,2.0,-1.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,5,46
8,",",,,,",",,,,,,,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,,
9,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,89,1549
10,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,104,2261
11,pursuit,5.0,2.0,1.0,NN,conj:and,2.0,2.0,2.0,2.0,-1.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,2,5
12,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,69,1691
13,happiness,7.0,3.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,4,12
14,.,,,,.,,,,,,,12,"that among these are life , liberty , and the pursuit of happiness .",5,4,,
1,Today,4.0,2.0,1.0,NN,nmod:tmod,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,6,83
2,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,69,1021
3,continue,8.0,3.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,1,17
4,a,1.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,37,789
5,never-ending,,,,JJ,amod,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,1,1
6,journey,4.0,2.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,6,19
7,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,66,1169
8,bridge,4.0,1.0,1.0,VB,acl,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,1,3
9,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,104,2261
10,meaning,5.0,2.0,1.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,3,14
11,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,69,1691
12,those,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,11,119
13,words,4.0,1.0,1.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,4,26
14,with,3.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,13,225
15,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,104,2261
16,realities,8.0,4.0,1.0,NNS,nmod:with,2.0,2.0,2.0,2.0,-1.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,1,2
17,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,69,1691
18,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,13,Today we continue a never-ending journey to bridge the meaning of those words with the realities of our time .,5,5,76,904
